FirstName,MiddleName,LastName,GenerationCodeOrSuffix,Birthdate,Sex,RaceEthnicity,PersonIdentifiers,IdentificationSystems,PersonIdentifierTypes
EDITH,M,ADAMS,III,1965-05-15,Female,"White,Black|AmericanIndianOrAlaskaNative",989897099|40420|6202378625|124031,PersonIdentificationSystem_SSN|PersonIdentificationSystem_EducatorID|PersonIdentificationSystem_State|PersonIdentificationSystem_SSN,PersonIdentifierType_PersonIdentifier|PersonIdentifierType_StaffMemberIdentifier|PersonIdentifierType_StudentIdentifier|PersonIdentifierType_StaffMemberIdentifier
Hannah,Amelia,Evans,,1984-05-06,Female,Black,357684951,ceds:NI001571173116
Carter,,Edwards,,1978-03-24,Male,Hispanic,684951357,ceds:NI001571173133
Zoey,Harper,Collins,,1991-07-13,Female,Asian,951357684,ceds:NI001571173119
Owen,,Stewart,,1986-01-30,Male,White,357684951,ceds:NI001571173132
Madison,Sofia,Sanchez,,1979-09-07,Female,Black,684951357,ceds:NI001571173129
Wyatt,,Morris,,1992-05-18,Male,Hispanic,951357684,ceds:NI001571173127
Penelope,Grace,Rogers,,1983-11-25,Female,Asian,357684951,ceds:NI001571173131
Jack,,Reed,,1976-07-09,Male,White,684951357,ceds:NI001571173121
Nora,Elizabeth,Cook,,1988-03-31,Female,Black,951357684,ceds:NI001571173118
Leo,,Morgan,,1993-09-22,Male,Hispanic,357684951,ceds:NI001571173130
Riley,Ava,Bell,,1981-12-14,Female,Asian,684951357,ceds:NI001571173125
Julian,,Murphy,,1977-06-05,Male,White,951357684,ceds:NI001571173136
Layla,Sophia,Bailey,,1989-10-27,Female,Black,357684951,ceds:NI001571173126
Grayson,,Rivera,,1994-02-08,Male,Hispanic,684951357,ceds:NI001571173122
Brooklyn,Emma,Cooper,,1980-08-19,Female,Asian,951357684,ceds:NI001571173117
Luke,,Richardson,,1985-04-11,Male,White,357684951,ceds:NI001571173134
Savannah,Grace,Cox,,1991-06-03,Female,Black,684951357,ceds:NI001571173123
Jayden,,Howard,,1978-12-26,Male,Hispanic,951357684,ceds:NI001571173135
Leah,Chloe,Ward,,1987-08-09,Female,Asian,357684951,ceds:NI001571173128
Dylan,,Torres,,1992-10-01,Male,White,684951357,ceds:NI001571173120
Stella,Harper,Peterson,,1984-01-23,Female,Black,951357684,ceds:NI001571173116
Lincoln,,Gray,,1979-07-15,Male,Hispanic,357684951,ceds:NI001571173133
Natalie,Olivia,Ramirez,,1990-03-07,Female,Asian,684951357,ceds:NI001571173119
Hudson,,James,,1986-11-18,Male,White,951357684,ceds:NI001571173132
Leila,Sofia,Watson,,1981-05-29,Female,Black,357684951,ceds:NI001571173129
Mateo,,Brooks,,1993-07-20,Male,Hispanic,684951357,ceds:NI001571173127
Audrey,Grace,Kelly,,1977-09-12,Female,Asian,951357684,ceds:NI001571173131
Ezra,,Sanders,,1988-01-04,Male,White,357684951,ceds:NI001571173121
Claire,Emma,Price,,1991-11-16,Female,Black,684951357,ceds:NI001571173118
Cameron,,Bennett,,1982-03-28,Male,Hispanic,951357684,ceds:NI001571173130
Bella,Ava,Wood,,1989-05-10,Female,Asian,357684951,ceds:NI001571173125
Nolan,,Barnes,,1976-12-22,Male,White,684951357,ceds:NI001571173136
Skylar,Sophia,Ross,,1994-04-14,Female,Black,951357684,ceds:NI001571173126
Luca,,Henderson,,1980-10-06,Male,Hispanic,357684951,ceds:NI001571173122
Madelyn,Grace,Coleman,,1987-02-27,Female,Asian,684951357,ceds:NI001571173117
Asher,,Jenkins,,1992-08-19,Male,White,951357684,ceds:NI001571173134
Sadie,Harper,Perry,,1983-12-31,Female,Black,357684951,ceds:NI001571173123
Theodore,,Powell,,1978-06-13,Male,Hispanic,684951357,ceds:NI001571173135
Julia,Chloe,Long,,1990-10-24,Female,Asian,951357684,ceds:NI001571173128
Maverick,,Patterson,,1985-02-05,Male,White,357684951,ceds:NI001571173120
Madeline,Olivia,Hughes,,1991-04-17,Female,Black,684951357,ceds:NI001571173116
Kai,,Flores,,1979-08-29,Male,Hispanic,951357684,ceds:NI001571173133
Ruby,Grace,Washington,,1988-12-11,Female,Asian,357684951,ceds:NI001571173119
Ezekiel,,Butler,,1993-06-02,Male,White,684951357,ceds:NI001571173132
Alice,Sofia,Simmons,,1980-10-23,Female,Black,951357684,ceds:NI001571173129
Jax,,Foster,,1977-04-15,Male,Hispanic,357684951,ceds:NI001571173127
Kennedy,Emma,Gonzales,,1989-08-07,Female,Asian,684951357,ceds:NI001571173131
Luca,,Bryant,,1992-12-19,Male,White,951357684,ceds:NI001571173121
Ivy,Harper,Russell,,1984-06-30,Female,Black,357684951,ceds:NI001571173118
Greyson,,Alexander,,1981-02-21,Male,Hispanic,684951357,ceds:NI001571173130
Madelyn,Ava,Griffin,,1990-08-12,Female,Asian,951357684,ceds:NI001571173125
Rowan,,Diaz,,1978-11-03,Male,White,357684951,ceds:NI001571173136
Everly,Sophia,Hayes,,1987-03-25,Female,Black,684951357,ceds:NI001571173126
